game_index,category,split,seed,lineup,rewards,statuses,winners
3,without_mine,train,20260618,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
2,without_mine,train,20260617,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
1,without_mine,train,20260616,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
6,without_mine,train,20260621,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
4,without_mine,train,20260619,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
7,without_mine,train,20260622,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
5,without_mine,train,20260620,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
11,without_mine,train,20260626,best intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
9,without_mine,train,20260624,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
8,without_mine,train,20260623,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
13,without_mine,train,20260628,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
12,without_mine,train,20260627,best smith,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""smith""]"
10,without_mine,train,20260625,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
14,without_mine,train,20260629,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
16,without_mine,train,20260631,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
17,without_mine,train,20260632,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
15,without_mine,train,20260630,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
20,without_mine,train,20260635,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
21,without_mine,train,20260636,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
23,without_mine,train,20260638,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
22,without_mine,train,20260637,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
18,without_mine,train,20260633,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
19,without_mine,train,20260634,best intruder smith 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""smith""]"
26,without_mine,train,20260641,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
25,without_mine,train,20260640,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
24,without_mine,train,20260639,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
27,without_mine,train,20260642,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
28,without_mine,train,20260643,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
29,without_mine,train,20260644,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
32,without_mine,train,20260647,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
33,without_mine,train,20260648,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
31,without_mine,train,20260646,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
35,without_mine,train,20260650,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
36,without_mine,train,20260651,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
37,without_mine,train,20260652,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
34,without_mine,train,20260649,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
38,without_mine,train,20260653,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
40,without_mine,train,20260655,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
39,without_mine,train,20260654,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
42,without_mine,train,20260657,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
41,without_mine,train,20260656,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
43,without_mine,train,20260658,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
44,without_mine,train,20260659,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
46,without_mine,train,20260661,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
45,without_mine,train,20260660,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
30,without_mine,train,20260645,best intruder 1200 1039,"[-1.0, -1.0, -1.0, 1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""1039""]"
47,without_mine,train,20260662,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
49,without_mine,train,20260664,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
48,without_mine,train,20260663,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
52,without_mine,train,20260667,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
53,without_mine,train,20260668,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
54,without_mine,train,20260669,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
55,without_mine,train,20260670,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
51,without_mine,train,20260666,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
56,without_mine,train,20260671,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
50,without_mine,train,20260665,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
57,without_mine,train,20260672,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
59,without_mine,train,20260674,best intruder smith 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""smith""]"
58,without_mine,train,20260673,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
61,without_mine,train,20260676,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
63,without_mine,train,20260678,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
62,without_mine,train,20260677,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
65,without_mine,train,20260680,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
66,without_mine,train,20260681,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
60,without_mine,train,20260675,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
64,without_mine,train,20260679,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
