split,category,lineup,player,step,target_win,role,phase,target_owner_group,target_quadrant,action_target,sample_weight,sample_kind,compare_target_id,sun_penalty,long_flight_penalty,opportunity_penalty,overtake_bonus,board_ownership_bonus,projected_overtake_count,overtake_focus_weight,trend_identity,pressure_reason,pressure_target_id,pressure_quadrant,pressure_source_count,pressure_fleet_count,pressure_hostile_ships,pressure_projected_defense,pressure_defense_ratio,pressure_eta_spread,group,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200
train,without_mine,intruder smith,intruder,0,1,anchor,initiation,neutral,Q3_NE,0.182018,1.785022,chosen_action,,0.0,0.18,0.4,0.13258,0.3458,0.0,1.785022,neutral,neutral,,,0,0,0,0.0,0.0,0.0,0,0.0,0.5,1.0,0.0,0.008333333333333333,0.01,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10055555555555555,0.13125,0.125,0.1875,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.1375,0.125,0.25,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.008333333333333333,0.0,0.0,0.10055555555555555,0.13125,0.125,0.1875,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.1375,0.125,0.25,0.015,0.0,0.140275,0.11171666666666667,0.24724166666666667,0.04695,0.0025,0.0005,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402748736487542,0.1117126924223618,0.247245232331049,0.1339017980641217,0.023869720927253833,0.046954046358686684,0.29604163624777285,0.29604163624777285,0.04879640391672385,0.1402748736487542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0625,0.2,1.0,0.0,0.0,0.0,0.010833333333333334,1.0,0.39538730931899235,0.03125,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.354606958900589,0.0,0.0,0.0,0.0,1.0,0.38375452932352744,0.0625,1.0,0.025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024166666666666666,0.0,0.0,0.4083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3458,0.13258,0.0,0.0,0.0,0.0,1.0,0.005555555555555556,0.008333333333333333,0.0,0.0,0.0,0.12222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0020678493578868353,0.20947933018624834,0.2074114808283615,0.0,0.18,0.4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
train,without_mine,intruder smith,intruder,20,1,expander,expansion,neutral,Q0_SE,0.534667,1.782565,chosen_action,,0.0,0.18,0.387505,0.108539,0.38672,0.0,1.782565,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0,0,0.04,0.5,1.0,0.0,0.025833333333333333,0.06,0.0,0.125,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09222222222222222,0.1,0.125,0.1875,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.1375,0.125,0.25,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333333,0.05,0.007222222222222222,0.0,0.09222222222222222,0.1,0.125,0.1875,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.1375,0.125,0.25,0.015,0.0,0.18986666666666666,0.14416666666666667,0.20365,0.22274166666666664,0.0125,0.0032,0.6,0.2,0.2,0.6,0.4,0.0,0.4,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11567409493564638,0.08497002105938165,0.1766024851810596,0.09229039225268185,0.06829133092470266,0.18470688544518757,0.2774647902013404,0.2774647902013404,0.09275790475615284,0.2774647902013404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.8,0.0,1.0,0.0,0.0,0.04083333333333333,0.9781,0.45276637515549334,0.05,0.4,1.0,0.0,0.0,1.0,0.0,0.04083333333333333,1.0,0.16216981291447483,1.0,0.0,0.0,0.0,0.0,0.3244720476074555,0.125,1.0,0.06875,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.075,0.0,0.11283333333333334,0.0,0.0,0.2911111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.38671999999999995,0.10853866666666667,0.0,0.0,0.0,1.0,0.0,0.018333333333333333,0.05,0.0,0.0,0.025833333333333333,0.09222222222222222,0.0,0.0,0.0,0.0,0.9702125337140456,0.553545867047379,0.02774447089460151,0.17149681040163567,0.14375233950703417,0.0,0.18,0.3875046790140684,0.0,0.0,0.0,0.0,0.0,0.9166666666666666
train,without_mine,intruder smith,intruder,50,1,expander,attack,neutral,Q3_NE,0.085672,1.654776,chosen_action,,0.95,0.18,0.201059,0.081596,0.33996,0.0,1.654776,neutral,neutral,,,0,0,0,0.0,0.0,0.0,0,0.1,0.5,1.0,0.0,0.19416666666666665,0.12,0.0,0.25,0.15166666666666667,0.03666666666666667,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.1875,0.0,0.006666666666666667,0.04,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11875,0.125,0.3125,0.012222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10277777777777777,0.175,0.06888888888888889,0.25,0.03222222222222222,0.0125,0.0,0.125,0.0,0.06833333333333333,0.07,0.0,0.125,0.043333333333333335,0.10666666666666667,1.0,0.006111111111111111,0.03333333333333333,0.008333333333333333,0.0,0.12333333333333334,0.075,0.125,0.25,0.0,0.5,0.30638333333333334,0.18925833333333333,0.18616666666666667,0.26181666666666664,0.075,0.03405,0.5,0.26666666666666666,0.23333333333333334,0.5333333333333333,0.4666666666666667,0.0,0.4666666666666667,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14214274596687274,0.15586781555722848,0.12369073573220209,0.12219764484607869,0.10662955734653624,0.24509519665207294,0.1043763038990089,0.24509519665207294,0.08922738109484446,0.1043763038990089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.8,0.0,1.0,0.0,0.0,0.016666666666666666,0.8782,0.518094825572424,0.24375,0.2,1.0,0.0,0.0,0.0,0.0,0.16083333333333333,0.5697,0.39538730931899235,0.0,0.0,0.0,1.0,0.6666666666666666,0.8498067350139956,0.05,1.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6603333333333333,0.0,0.0,0.19833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.33996000000000004,0.081596,0.0,0.0,0.0,0.0,1.0,0.10888888888888888,0.20833333333333334,0.25,0.006111111111111111,0.06833333333333333,0.12333333333333334,0.008333333333333333,0.10666666666666667,1.0,0.0,1.0,1.0,0.00100968643546025,0.10153926807114104,0.10052958163568078,0.95,0.18,0.20105916327136156,0.0,0.0,0.0,0.0,0.0,-0.8260869565217391
train,without_mine,intruder smith,intruder,50,1,expander,attack,enemy,Q2_NW,0.243016,2.868872,chosen_action,,0.95,0.18,0.292139,0.308369,0.391693,0.0,2.868872,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0,0,0.1,0.5,1.0,0.0,0.19416666666666665,0.12,0.0,0.25,0.15166666666666667,0.03666666666666667,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.1875,0.0,0.006666666666666667,0.04,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11875,0.125,0.3125,0.012222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10277777777777777,0.175,0.06888888888888889,0.25,0.03222222222222222,0.0125,0.0,0.125,0.0,0.06833333333333333,0.07,0.0,0.125,0.043333333333333335,0.10666666666666667,1.0,0.006111111111111111,0.03333333333333333,0.008333333333333333,0.0,0.12333333333333334,0.075,0.125,0.25,0.0,0.5,0.30638333333333334,0.18925833333333333,0.18616666666666667,0.26181666666666664,0.075,0.03405,0.5,0.26666666666666666,0.23333333333333334,0.5333333333333333,0.4666666666666667,0.0,0.4666666666666667,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21953039058591467,0.1430923735463403,0.13140904514996493,0.1048162313080817,0.11130577700167149,0.20605765069022774,0.08378853171779921,0.21953039058591467,0.013472739895686925,0.08378853171779921,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.025,0.8,0.0,1.0,0.0,1.0,0.2608333333333333,0.8601,0.5180948255724239,0.36875,0.8,0.0,1.0,0.0,0.0,1.0,-0.31,0.1298,0.518094825572424,0.0,0.0,1.0,0.0,0.6666666666666666,0.7155972333751477,0.025,1.0,-0.35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6603333333333333,0.0,0.0,0.49833333333333335,0.0,0.0,0.0,1.0,0.0,0.41333333333333333,0.39169333333333334,0.30836933333333333,0.0,0.0,0.0,1.0,0.0,0.10888888888888888,0.20833333333333334,0.25,0.10277777777777777,0.0,0.03222222222222222,0.06888888888888889,0.0,1.0,0.0,1.0,1.0,0.003461555027649074,0.0995311682013636,0.09606961317371453,0.95,0.18,0.29213922634742906,0.0,0.0,0.0,0.0,0.0,-0.9845559845559846
train,without_mine,intruder smith,intruder,60,1,attacker,attack,enemy,Q2_NW,1.0,2.902771,chosen_action,,0.0,0.0,0.0,0.294086,0.442196,0.0,2.902771,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631,0,0.12,0.5,1.0,0.0,0.0425,0.12,0.0,0.25,0.03333333333333333,0.065,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.125,0.020555555555555556,0.06833333333333333,0.1,0.25,0.0,0.06416666666666666,0.12583333333333332,0.0,0.011111111111111112,0.03333333333333333,0.06166666666666667,0.0,0.09222222222222222,0.05625,0.0,0.25,0.020555555555555556,0.050833333333333335,0.04,0.0,0.0,0.050833333333333335,0.0,0.0,0.05388888888888889,0.14166666666666666,0.11444444444444445,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.07916666666666666,0.15,0.25,0.125,0.03,0.0825,1.0,0.011666666666666667,0.008333333333333333,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.5,0.39457499999999995,0.1975916666666667,0.179875,0.30544166666666667,0.125,0.0865,0.42,0.3,0.28,0.46,0.54,0.0,0.54,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08666489754049106,0.1301404125024827,0.07940075523546787,0.1288993514546492,0.10836859880901545,0.3054403394479643,0.1610856450099295,0.3054403394479643,0.14435469443803478,0.3054403394479643,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.38125,0.8,0.0,1.0,0.0,0.0,-0.23416666666666666,0.3895,0.5181175021346519,0.13125,0.8,1.0,0.0,0.0,0.0,1.0,-0.23416666666666666,0.2821,0.39009142385797785,1.0,0.0,0.0,0.0,0.0,0.15207269043207863,0.38125,1.0,0.24375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,1.0,1.0,0.4,0.175,0.0,0.0,0.9579999999999997,0.0,0.0,0.4683333333333333,0.0,0.0,0.0,1.0,0.0,0.31222222222222223,0.44219555555555556,0.29408622222222225,0.0,1.0,0.0,0.0,0.0,0.07666666666666666,0.18333333333333332,0.25,0.05388888888888889,0.050833333333333335,0.03222222222222222,0.11444444444444445,0.0,0.0,0.0,0.26133795136212756,0.0,0.14545974264792932,0.038917828970201095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486486486486487
train,without_mine,intruder smith,intruder,60,1,expander,attack,friendly,Q0_SE,1.0,1.596856,chosen_action,,0.0,0.0,0.0,0.12584,0.2184,0.0,1.596856,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631,0,0.12,0.5,1.0,0.0,0.0425,0.12,0.0,0.25,0.03333333333333333,0.065,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.125,0.020555555555555556,0.06833333333333333,0.1,0.25,0.0,0.06416666666666666,0.12583333333333332,0.0,0.011111111111111112,0.03333333333333333,0.06166666666666667,0.0,0.09222222222222222,0.05625,0.0,0.25,0.020555555555555556,0.050833333333333335,0.04,0.0,0.0,0.050833333333333335,0.0,0.0,0.05388888888888889,0.14166666666666666,0.11444444444444445,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.07916666666666666,0.15,0.25,0.125,0.03,0.0825,1.0,0.011666666666666667,0.008333333333333333,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.5,0.39457499999999995,0.1975916666666667,0.179875,0.30544166666666667,0.125,0.0865,0.42,0.3,0.28,0.46,0.54,0.0,0.54,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13977770736320366,0.13492889687804765,0.12209959484442778,0.10705975893364572,0.12133401299653214,0.253616243113195,0.12118378587094807,0.253616243113195,0.11383853574999131,0.12118378587094807,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23125,0.8,0.0,1.0,0.0,0.0,0.1,0.7343,0.38500117456414,0.125,0.8,0.0,1.0,0.0,0.0,1.0,0.1375,0.8783,0.5181175021346521,0.0,0.0,0.0,1.0,0.3333333333333333,0.16551994655695332,0.23125,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9579999999999997,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.2184,0.12584,0.0,1.0,0.0,0.0,0.0,0.07666666666666666,0.18333333333333332,0.25,0.0,0.0425,0.10166666666666667,0.0,0.065,0.0,0.0,0.3368123125330256,0.0,0.05581759295838851,0.033907890436415136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,without_mine,intruder smith,intruder,60,1,expander,attack,enemy,Q2_NW,0.541311,2.473494,chosen_action,,0.0,0.18,0.051084,0.203578,0.285116,0.0,2.473494,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631,0,0.12,0.5,1.0,0.0,0.0425,0.12,0.0,0.25,0.03333333333333333,0.065,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.125,0.020555555555555556,0.06833333333333333,0.1,0.25,0.0,0.06416666666666666,0.12583333333333332,0.0,0.011111111111111112,0.03333333333333333,0.06166666666666667,0.0,0.09222222222222222,0.05625,0.0,0.25,0.020555555555555556,0.050833333333333335,0.04,0.0,0.0,0.050833333333333335,0.0,0.0,0.05388888888888889,0.14166666666666666,0.11444444444444445,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.07916666666666666,0.15,0.25,0.125,0.03,0.0825,1.0,0.011666666666666667,0.008333333333333333,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.5,0.39457499999999995,0.1975916666666667,0.179875,0.30544166666666667,0.125,0.0865,0.42,0.3,0.28,0.46,0.54,0.0,0.54,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3562443225769478,0.12624546227366046,0.10002019499085388,0.06892048059089946,0.14714321205012754,0.09481718416584003,0.10660914335167081,0.3562443225769478,0.2091011105268203,0.10660914335167081,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33125,1.0,1.0,0.0,1.0,1.0,0.17916666666666667,0.6198,0.2594030691580913,0.0875,0.2,1.0,0.0,0.0,0.0,1.0,-0.23416666666666666,0.2821,0.39538730931899235,0.0,0.0,1.0,0.0,0.3333333333333333,0.8035803124131546,0.33125,1.0,0.2375,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.225,0.0,0.0,0.0,0.9579999999999997,0.0,0.0,0.15666666666666668,0.0,0.0,0.0,1.0,0.0,0.31222222222222223,0.28511555555555557,0.20357822222222224,0.0,1.0,0.0,0.0,0.0,0.07666666666666666,0.18333333333333332,0.25,0.05388888888888889,0.050833333333333335,0.03222222222222222,0.11444444444444445,0.0,0.0,0.0,1.0,1.0,0.00041051294022485986,0.025952314329936717,0.02554180138971186,0.0,0.18,0.05108360277942372,0.0,0.0,0.0,0.0,0.0,-0.11666666666666667
train,without_mine,intruder smith,intruder,60,1,expander,attack,friendly,Q2_NW,1.0,1.949683,chosen_action,,0.0,0.018552,0.0,0.193766,0.358996,0.0,1.949683,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631,0,0.12,0.5,1.0,0.0,0.0425,0.12,0.0,0.25,0.03333333333333333,0.065,1.0,0.0,0.0,0.0,0.0,0.10166666666666667,0.06875,0.125,0.125,0.020555555555555556,0.06833333333333333,0.1,0.25,0.0,0.06416666666666666,0.12583333333333332,0.0,0.011111111111111112,0.03333333333333333,0.06166666666666667,0.0,0.09222222222222222,0.05625,0.0,0.25,0.020555555555555556,0.050833333333333335,0.04,0.0,0.0,0.050833333333333335,0.0,0.0,0.05388888888888889,0.14166666666666666,0.11444444444444445,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.07916666666666666,0.15,0.25,0.125,0.03,0.0825,1.0,0.011666666666666667,0.008333333333333333,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.5,0.39457499999999995,0.1975916666666667,0.179875,0.30544166666666667,0.125,0.0865,0.42,0.3,0.28,0.46,0.54,0.0,0.54,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20499669935746032,0.11062694330285494,0.09895161322814737,0.11767236941335518,0.10700322262521607,0.2838472934771255,0.07690185859584059,0.2838472934771255,0.07885059411966519,0.07690185859584059,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.075,0.8,0.0,1.0,0.0,1.0,0.17916666666666667,0.5027,0.38500117456413996,0.38125,0.8,0.0,1.0,0.0,0.0,0.0,-0.23416666666666666,0.3895,0.5181175021346519,0.0,0.0,1.0,0.0,0.3333333333333333,0.16551994655695362,0.075,1.0,-0.3125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9579999999999997,0.0,0.0,0.5016666666666667,0.0,0.0,0.0,0.0,0.0,0.31222222222222223,0.35899555555555557,0.19376622222222223,0.0,1.0,0.0,0.0,0.0,0.07666666666666666,0.18333333333333332,0.25,0.05388888888888889,0.050833333333333335,0.03222222222222222,0.11444444444444445,0.0,0.0,0.0,0.4682013131286536,0.051534646461986945,0.04095015470556867,0.040460240321288955,0.0,0.0,0.0185524727263153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,70,1,expander,established,neutral,Q1_SW,0.456869,1.613456,chosen_action,,0.0,0.18,0.023468,0.072884,0.32484,0.0,1.613456,pressured,concentrated_inbound,22,Q1_SW,2,2,57,94.0,0.6064,0.051,0,0.14,0.5,1.0,0.0,0.17416666666666666,0.17,0.25,0.25,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0661111111111111,0.0375,0.0,0.125,0.020555555555555556,0.09416666666666666,0.16,0.25,0.125,0.035833333333333335,0.016666666666666666,1.0,0.006666666666666667,0.03333333333333333,0.035555555555555556,0.0,0.05388888888888889,0.01875,0.0,0.125,0.020555555555555556,0.06333333333333334,0.04,0.0,0.125,0.0,0.0975,0.0,0.06555555555555556,0.14166666666666666,0.08333333333333333,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.09916666666666667,0.16,0.25,0.125,0.065,0.029166666666666667,1.0,0.0,0.0,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.75,0.44403333333333334,0.24224166666666666,0.154025,0.17710833333333334,0.17,0.1262,0.39705882352941174,0.2647058823529412,0.3382352941176471,0.5147058823529411,0.4852941176470588,0.0,0.4852941176470588,0.225,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2168213593912289,0.24224495429571793,0.12315903217259004,0.12784045802062244,0.11195391613229153,0.03917971176147861,0.13880056822607062,0.24224495429571793,0.025423594904489033,0.13880056822607062,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.475,0.8,1.0,0.0,0.0,0.0,-0.095,0.4224,0.39009142385797785,0.13125,0.2,1.0,0.0,0.0,0.0,0.0,0.0775,0.5482,0.2633564337348729,0.0,0.0,0.0,0.0,0.3333333333333333,0.7784389805855467,0.475,1.0,0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.32484,0.072884,0.0,1.0,0.0,0.0,0.0,0.07222222222222222,0.175,0.25,0.006666666666666667,0.09416666666666666,0.05388888888888889,0.035555555555555556,0.016666666666666666,0.0,0.0,1.0,1.0,0.0003445748177740642,0.012078326644492604,0.01173375182671854,0.0,0.18,0.02346750365343708,0.0,0.0,0.0,0.0,0.0,1.0
train,without_mine,intruder smith,intruder,70,1,expander,established,friendly,Q3_NE,0.866712,1.601286,chosen_action,,0.0,0.18,0.031394,0.103251,0.26184,0.0,1.601286,pressured,concentrated_inbound,22,Q1_SW,2,2,57,94.0,0.6064,0.051,0,0.14,0.5,1.0,0.0,0.17416666666666666,0.17,0.25,0.25,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0661111111111111,0.0375,0.0,0.125,0.020555555555555556,0.09416666666666666,0.16,0.25,0.125,0.035833333333333335,0.016666666666666666,1.0,0.006666666666666667,0.03333333333333333,0.035555555555555556,0.0,0.05388888888888889,0.01875,0.0,0.125,0.020555555555555556,0.06333333333333334,0.04,0.0,0.125,0.0,0.0975,0.0,0.06555555555555556,0.14166666666666666,0.08333333333333333,0.25,0.03222222222222222,0.0125,0.0,0.0625,0.020555555555555556,0.09916666666666667,0.16,0.25,0.125,0.065,0.029166666666666667,1.0,0.0,0.0,0.0,0.0,0.08777777777777777,0.04375,0.0,0.1875,0.020555555555555556,0.75,0.44403333333333334,0.24224166666666666,0.154025,0.17710833333333334,0.17,0.1262,0.39705882352941174,0.2647058823529412,0.3382352941176471,0.5147058823529411,0.4852941176470588,0.0,0.4852941176470588,0.225,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22278470244629567,0.16448035704720093,0.135604015295323,0.08779259271799618,0.13500013563140834,0.14005243805130377,0.11428575881047216,0.22278470244629567,0.05830434539909474,0.11428575881047216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4625,0.8,0.0,1.0,0.0,1.0,0.21666666666666667,0.9769,0.38491119445819705,0.1625,0.4,1.0,0.0,0.0,1.0,1.0,0.16833333333333333,0.9745,0.16216981291447483,0.0,1.0,1.0,1.0,1.0,0.5382194930635701,0.4625,1.0,0.29375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.26183999999999996,0.10325066666666667,0.0,1.0,0.0,0.0,0.0,0.07222222222222222,0.175,0.25,0.0,0.09916666666666667,0.08777777777777777,0.0,0.029166666666666667,0.0,0.0,1.0,0.7792602057938539,0.006518361899853876,0.022215335378056103,0.015696973478202227,0.0,0.18,0.031393946956404455,0.0,0.0,0.0,0.0,0.0,0.0
