split,category,lineup,player,step,target_win,role,phase,target_owner_group,target_quadrant,action_target,sample_weight,sample_kind,compare_target_id,sun_penalty,long_flight_penalty,opportunity_penalty,overtake_bonus,board_ownership_bonus,projected_overtake_count,overtake_focus_weight,trend_identity,pressure_reason,pressure_target_id,pressure_quadrant,pressure_source_count,pressure_fleet_count,pressure_hostile_ships,pressure_projected_defense,pressure_defense_ratio,pressure_eta_spread
train,without_mine,intruder smith,intruder,0,1,anchor,initiation,neutral,Q3_NE,0.182018,1.785022,chosen_action,,0.0,0.18,0.4,0.13258,0.3458,0.0,1.785022,neutral,neutral,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,20,1,expander,expansion,neutral,Q0_SE,0.534667,1.782565,chosen_action,,0.0,0.18,0.387505,0.108539,0.38672,0.0,1.782565,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,50,1,expander,attack,neutral,Q3_NE,0.085672,1.654776,chosen_action,,0.95,0.18,0.201059,0.081596,0.33996,0.0,1.654776,neutral,neutral,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,50,1,expander,attack,enemy,Q2_NW,0.243016,2.868872,chosen_action,,0.95,0.18,0.292139,0.308369,0.391693,0.0,2.868872,cash_in,cash_in,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,60,1,attacker,attack,enemy,Q2_NW,1.0,2.902771,chosen_action,,0.0,0.0,0.0,0.294086,0.442196,0.0,2.902771,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631
train,without_mine,intruder smith,intruder,60,1,expander,attack,friendly,Q0_SE,1.0,1.596856,chosen_action,,0.0,0.0,0.0,0.12584,0.2184,0.0,1.596856,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631
train,without_mine,intruder smith,intruder,60,1,expander,attack,enemy,Q2_NW,0.541311,2.473494,chosen_action,,0.0,0.18,0.051084,0.203578,0.285116,0.0,2.473494,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631
train,without_mine,intruder smith,intruder,60,1,expander,attack,friendly,Q2_NW,1.0,1.949683,chosen_action,,0.0,0.018552,0.0,0.193766,0.358996,0.0,1.949683,pressured,concentrated_inbound,14,Q1_SW,2,2,95,57.0,1.6667,2.631
train,without_mine,intruder smith,intruder,70,1,expander,established,neutral,Q1_SW,0.456869,1.613456,chosen_action,,0.0,0.18,0.023468,0.072884,0.32484,0.0,1.613456,pressured,concentrated_inbound,22,Q1_SW,2,2,57,94.0,0.6064,0.051
train,without_mine,intruder smith,intruder,70,1,expander,established,friendly,Q3_NE,0.866712,1.601286,chosen_action,,0.0,0.18,0.031394,0.103251,0.26184,0.0,1.601286,pressured,concentrated_inbound,22,Q1_SW,2,2,57,94.0,0.6064,0.051
train,without_mine,intruder smith,intruder,70,1,expander,established,friendly,Q3_NE,1.0,1.654246,chosen_action,,0.0,0.0,0.017179,0.13794,0.2394,0.0,1.654246,pressured,concentrated_inbound,22,Q1_SW,2,2,57,94.0,0.6064,0.051
train,without_mine,intruder smith,smith,70,0,expander,attack,enemy,Q1_SW,0.476295,3.601849,chosen_action,,0.0,0.18,0.106386,0.50039,0.296973,0.0,3.601849,chasing_leader,leader_target,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,smith,70,0,attacker,attack,enemy,Q1_SW,0.487478,3.601849,chosen_action,,0.0,0.18,0.050473,0.50039,0.296973,0.0,3.601849,chasing_leader,leader_target,,,0,0,0,0.0,0.0,0.0
train,without_mine,intruder smith,intruder,90,1,expander,established,friendly,Q1_SW,1.0,1.667858,chosen_action,,0.0,0.0,0.0,0.117287,0.2862,0.0,1.667858,neutral,neutral,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,40,1,feeder,attack,enemy,Q3_NE,0.675249,4.588272,chosen_action,,0.0,0.18,0.169115,0.536947,0.296,1.0,4.588272,chasing_leader,leader_target,,,0,0,0,0.0,0.0,0.0
train,without_mine,best smith,best,50,1,expander,established,friendly,Q1_SW,0.658442,1.543896,chosen_action,,0.0,0.0,0.4,0.091151,0.24084,0.0,1.543896,neutral,neutral,,,0,0,0,0.0,0.0,0.0
