epoch,train_loss,test_loss,train_acc,test_acc,lr
1,0.877263,0.879158,0.587022,0.570837,0.04
2,0.784904,0.789129,0.639098,0.627303,0.04
3,0.732363,0.73833,0.667404,0.654676,0.04
4,0.700049,0.707094,0.686441,0.674124,0.04
5,0.678657,0.6866,0.69974,0.685134,0.04
6,0.66369,0.672322,0.70803,0.693574,0.04
7,0.652743,0.661706,0.714478,0.697759,0.04
8,0.644423,0.65354,0.720546,0.702907,0.04
9,0.637792,0.647083,0.724349,0.709404,0.04
10,0.632401,0.641904,0.72798,0.712582,0.04
11,0.627845,0.637466,0.732268,0.715858,0.04
12,0.623909,0.633609,0.736508,0.719392,0.04
